KINYA,STATE BANK,KC ROAD;BIRI;THOKKOTTU;PUMPWELL;,07:18,08:19,19
STATE BANK,KINYA,PUMPWELL;THOKKOTTU;BIRI;KC ROAD,08:26,09:27,19
KINYA,STATE BANK,KC ROAD;BIRI;THOKKOTTU;PUMPWELL;,09:32,10:33,19
STATE BANK,KINYA,PUMPWELL;THOKKOTTU;BIRI;KC ROAD,10:57,11:58,19
KINYA,STATE BANK,KC ROAD;BIRI;THOKKOTTU;PUMPWELL;,12:02,13:03,19
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,07:00,07:42,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,07:49,08:31,14.8
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,08:39,09:21,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,09:27,10:09,14.8
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,10:18,11:00,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,11:15,11:57,14.8
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,12:04,12:46,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,13:04,13:46,14.8
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,14:00,14:42,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,15:00,15:42,14.8
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,16:00,16:42,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,16:45,17:27,14.8
STATE BANK,VAMANJUR,JYOTHI CIRCLE;KPT;PADAVINANDY;PACHHANADY,17:30,18:12,14.8
VAMANJUR,STATE BANK,PACHHANADY;PADAVINANDY;KPT;JYOTHI CIRCLE;,18:17,18:59,14.8
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;DERALAKATTE,15:05,16:06,22.1
MUDIPU,STATE BANK,DERALAKATTE;THOKKOTTU;PUMPWELL;,16:12,17:13,22.1
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;DERALAKATTE,17:17,18:18,22.1
MUDIPU,STATE BANK,DERALAKATTE;THOKKOTTU;PUMPWELL;,18:37,19:38,22.1
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;DERALAKATTE,20:03,21:04,22.1
MUDIPU,STATE BANK,DERALAKATTE;THOKKOTTU;PUMPWELL;,06:40,07:41,22.1
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;DERALAKATTE,07:52,08:53,22.1
MUDIPU,STATE BANK,DERALAKATTE;THOKKOTTU;PUMPWELL;,08:57,09:58,22.1
STATE BANK,MUDIPU,PUMPWELL;THOKKOTTU;DERALAKATTE,10:04,11:05,22.1
MUDIPU,STATE BANK,DERALAKATTE;THOKKOTTU;PUMPWELL;,11:12,12:13,22.1
STATE BANK,KUNJATHBAILU,JYOTHI CIRCLE;PVS;LALBAGH;KSRTC;DEREBILU;KAVURU,07:23,08:04,13
KUNJATHBAILU,STATE BANK,KAVURU;DEREBILU;KSRTC;LALBAGH;PVS;JYOTHI CIRCLE;,08:16,08:57,13
STATE BANK,KUNJATHBAILU,JYOTHI CIRCLE;PVS;LALBAGH;KSRTC;DEREBILU;KAVURU,09:05,09:46,13
KUNJATHBAILU,STATE BANK,KAVURU;DEREBILU;KSRTC;LALBAGH;PVS;JYOTHI CIRCLE;,10:05,10:46,13
STATE BANK,KUNJATHBAILU,JYOTHI CIRCLE;PVS;LALBAGH;KSRTC;DEREBILU;KAVURU,10:52,11:33,13
KUNJATHBAILU,STATE BANK,KAVURU;DEREBILU;KSRTC;LALBAGH;PVS;JYOTHI CIRCLE;,11:46,12:27,13
STATE BANK,KUNJATHBAILU,JYOTHI CIRCLE;PVS;LALBAGH;KSRTC;DEREBILU;KAVURU,12:52,13:33,13
KUNJATHBAILU,STATE BANK,KAVURU;DEREBILU;KSRTC;LALBAGH;PVS;JYOTHI CIRCLE;,13:48,14:29,13
STATE BANK,KUNJATHBAILU,JYOTHI CIRCLE;PVS;LALBAGH;KSRTC;DEREBILU;KAVURU,14:32,15:13,13
KUNJATHBAILU,STATE BANK,KAVURU;DEREBILU;KSRTC;LALBAGH;PVS;JYOTHI CIRCLE;,15:23,16:04,13
STATE BANK,KUNJATHBAILU,JYOTHI CIRCLE;PVS;LALBAGH;KSRTC;DEREBILU;KAVURU,16:11,16:52,13
KUNJATHBAILU,STATE BANK,KAVURU;DEREBILU;KSRTC;LALBAGH;PVS;JYOTHI CIRCLE;,17:15,17:56,13
STATE BANK,STATE BANK,PVS;LALBAGH;KSRTC;KNT;DBL;MLK;KVR;BDL;MANIPAL COLLAGE OF DENTAL SCIENCE;KADRI PARK;NANTHUR;JYOTHI CIRCLE,07:10,08:57,33.6
STATE BANK,STATE BANK,JYOTHI CIRCLE;NANTHUR;KADRI PARK;MANIPAL COLLAGE OF DENTAL SCIENCE;BDL;KVR;MLK;DBL;KNT;KSRTC;LALBAGH;PVS;,09:10,11:09,33.6
STATE BANK,STATE BANK,PVS;LALBAGH;KSRTC;KNT;DBL;MLK;KVR;BDL;MANIPAL COLLAGE OF DENTAL SCIENCE;KADRI PARK;NANTHUR;JYOTHI CIRCLE,11:16,12:53,33.6
